Id;Tipo;Corpo Descricao;Data Publicado;Busca Parametro 2;Id Externo
42846580;twittersearch;"Dólar volta a cair e fecha a R$ 1,68; Bovespa retrocede 0,93%, mesmo com as medidas do Banco Central.";07/01/11 23:45;pt;adilsonneves
42846581;twittersearch;Bovespa recua nesta sexta, mas avança 1,09% na semana. Dólar fecha a R$ 1,686.  http://ow.ly/3Acpx;07/01/11 23:45;pt;empregosrede
42847115;twittersearch;RT @Info_BMFBOVESPA: Balanço de operações 2010: Vale, Petrobras, OGX, Itau Unibanco e BM&FBOVESPA foram as ações com maior giro financeiro http://bit.ly/glHE3v;07/01/11 23:42;all;vitorssiq
42846582;twittersearch;RT @lopesbravo: (InfoMoney) First Commercial Bank of Florida é o primeiro banco a falir nos EUA em 2011 http://bit.ly/ikyOKy #mercado #bovespa;07/01/11 23:35;pt;SilasFreitas
42846583;twittersearch;Volatilidade enorme hoje na nossa #Bovespa. Isso deixa novos #Investidores azurebadinhos. Fiquem calmos.;07/01/11 23:31;pt;Fontes_
42844126;twittersearch;RT @Fontes_: São direitos de subscrições para comprar #ações bradesco, caso não pretenda subscrever vc deve vender esse direito, hj valia R$ 8,50.;07/01/11 23:27;pt;opcao_zili
42844127;twittersearch;São direitos de subscrições para comprar #ações bradesco, caso não pretenda subscrever vc deve vender esse direito, hj valia R$ 8,50.;07/01/11 23:20;pt;Fontes_
42841262;twittersearch;Bovespa recua nesta sexta, mas avança 1,09% na semana. Dólar fecha a R$ 1,686.  http://ow.ly/3Acpx;07/01/11 22:45;pt;empregosrede
42842906;twittersearch;RT @oferta_carioca: Seja um Investidor! Venha aprender a investir na bolsa de valores com Curso Dakar (De R$300,00 Por R$45,00) http://ofertacarioca.com.br;07/01/11 22:34;pt;ofertacarioca
42837244;twittersearch;Bovespa recua nesta sexta, mas avança 1,09% na semana. Dólar fecha ... - O Globo http://ow.ly/1aM9y1;07/01/11 22:29;pt;ncafeicultura
42837245;twittersearch;(InfoMoney) First Commercial Bank of Florida é o primeiro banco a falir nos EUA em 2011 http://bit.ly/ikyOKy #mercado #bovespa;07/01/11 22:24;pt;lopesbravo
42837246;twittersearch;(Brasil Econômico) Ibovespa tem rumo indefinido para próximos pregões http://bit.ly/hNnW2B #economia #bovespa;07/01/11 22:19;pt;lopesbravo
42836822;twittersearch;Seja um Investidor! Venha aprender a investir na bolsa de valores com Curso Dakar (De R$300,00 Por R$45,00) http://ofertacarioca.com.br;07/01/11 22:09;pt;oferta_carioca
42834932;twittersearch;"Bovespa fecha em baixa; dólar volta a cair http://bit.ly/f1AKTG #portaljovempan";07/01/11 21:59;pt;portaljovempan
42836823;twittersearch;O jeito é investir na bolsa de valores !!! Dinheiro Fail;07/01/11 21:56;pt;BRUNOHB_
42834933;twittersearch;Agência Brasil: Chuva acima do normal provocou transbordamento de córrego em São Paulo, afirma prefeitura http://bit.ly/dETBKk #bovespa;07/01/11 21:52;pt;lopesbravo
42834934;twittersearch;Bovespa...Maiores volumes, maiores altas e maiores baixas de hoje....http://bit.ly/b6H8z6;07/01/11 21:44;pt;investmaniacos
42836824;twittersearch;Eu vou investir na bolsa de valores , porque dá muito dinheiro mesmo , e minha familia será uma familia rica forever more .;07/01/11 21:32;pt;DANil0o
42832436;twittersearch;#mercado #Bovespa Cosan assina contrato para compra da Zanin http://bit.ly/hQyYlD #bolsa #finanças $$;07/01/11 21:30;pt;tradepips
42836825;twittersearch;Meus pais são ditadores e não querem me deixar investir na bolsa. Se eu morrer pobre a culpa é deles.;07/01/11 21:29;pt;ViniciusTwist
42832437;twittersearch;(InfoMoney) Risco-País fecha em alta de sete pontos após decepção com Relatório de Emprego http://bit.ly/ihi7R6 #mercado #bovespa;07/01/11 21:23;pt;lopesbravo
42832438;twittersearch;(InfoMoney) Avaliando Relatório de Emprego, preços dos Treasuries têm nova alta http://bit.ly/glRbqd #mercado #bovespa;07/01/11 21:23;pt;lopesbravo
42832439;twittersearch;(Brasil Econômico) Empregadores temem falta de engenheiro qualificado http://bit.ly/h6AB83 #economia #bovespa;07/01/11 21:19;pt;lopesbravo
42832440;twittersearch;A bovespa fechou o dia em alta de  1,09% aos 70.057,20 pontos.O dólar fechou o dia cotado a R$ 1,686 para venda.;07/01/11 21:18;pt;rafagoudard
42832441;twittersearch;@otaviocc @felipek @rafasgj E eu só uso o Safari p acessar banco e homebroker (Flash). Meu navegador padrão é o Chrome, com FlashBlock ext.;07/01/11 21:04;pt;heliojansen
42830532;twittersearch;valor_economico: Ibovespa acentua perdas e se aproxima dos 69 mil pontos http://is.gd/kjcnB   http://vlr.me/3q9rp Economia e negócios;07/01/11 21:04;pt;vlrme
42831307;twittersearch;@kaasalmazo , mano estou pensando em investir na bolsa de valores! ><;07/01/11 21:01;pt;tayna_cp
42830533;twittersearch;"Valor: Dólar futuro volta a subir; Ptax fecha a R$ 1,6861 http://bit.ly/hp8lMZ #mercado #bovespa";07/01/11 20:59;pt;lopesbravo
42830534;twittersearch;#mercado #Bovespa Ações da Agrenco podem voltar a ser negociadas http://bit.ly/ifXATd #bolsa #finanças $$;07/01/11 20:59;pt;tradepips
42830535;twittersearch;ano começou legal para a bovespa!!!!;07/01/11 20:57;pt;leovoliveira
42830536;twittersearch;(InfoMoney) Pimco elogia governo Lula e aponta pilares que levaram o Brasil ao desenvolvimento http://bit.ly/gJpgjv #mercado #bovespa;07/01/11 20:52;pt;lopesbravo
42827523;twittersearch;#CIEL3 - debate no Shield sobre #Cielo - http://j.mp/dTzRjY #ibov #bovespa #mercado #investir;07/01/11 20:40;pt;investorsmm
42827524;twittersearch;RT @cbonlinedf: Economia: Bovespa fecha em baixa de 0,74% e dólar termina cotado a R$ 1,686:  http://bit.ly/eGK0Nq;07/01/11 20:39;pt;MatheusLeone45
42827525;twittersearch;Economia: Bovespa fecha em baixa de 0,74% e dólar termina cotado a R$ 1,686:  http://bit.ly/eGK0Nq;07/01/11 20:37;pt;cbonlinedf
42827526;twittersearch;balanço de operações 2010 no site da #bovespa - http://j.mp/ebkdnq - destaque para #ETF - saiba aqui http://j.mp/gsuvTL  #investir #ibov;07/01/11 20:33;pt;investorsmm
42827527;twittersearch;Valor: Pacote de financiamento de longo prazo vai fomentar mercado secundário http://bit.ly/hdvc78 #mercado #bovespa;07/01/11 20:29;pt;lopesbravo
42827528;twittersearch;#mercado #Bovespa Petrobras reforça estrutura de manutenção offshore http://bit.ly/g37UBj #bolsa #finanças $$;07/01/11 20:29;pt;tradepips
42827529;twittersearch;#ITUB4 - #itau no grupo shield com gráfico diário - http://j.mp/fCAjkS #ibov #bovespa #investir;07/01/11 20:27;pt;investorsmm
42827530;twittersearch;#GFSA3 - análise do gráfico diário de #gafisa - http://j.mp/fuu6T4 #ibov #bovespa #investir;07/01/11 20:25;pt;investorsmm
42827531;twittersearch;Empresários de Sucesso REDEVTV Direto do @redetvi: Mau humor nos EUA contamina Bovespa, que cai pelo 2º dia http://migre.me/3uPu8;07/01/11 20:24;pt;empresdesucesso
42827533;twittersearch;(InfoMoney) Confira a agenda do investidor para a segunda semana de janeiro http://bit.ly/hsi7aO #mercado #bovespa;07/01/11 20:21;pt;lopesbravo
42827532;twittersearch;(InfoMoney) Vale afirma que substituição de Agnelli na presidência não está em discussão http://bit.ly/ftrIA5 #mercado #bovespa;07/01/11 20:21;pt;lopesbravo
42825509;twittersearch;A ventania começou fudida e meus papéis se sentiram como em 30 de dezembro na Bovespa;07/01/11 20:21;pt;Thata_poa
42825510;twittersearch;#Agrenco liberada pela CVM - #agen11 #ibov #bovespa #investir;07/01/11 20:11;pt;investorsmm
